"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify if the register button works correctly","6347","Click on Register Button","SpreecommerceAutomationTest","Tue Aug 12 10:02:09 EEST 2025","passed","Tue Aug 12 10:02:15 EEST 2025","org.example.datatest.tests.registerTest","Chrome Test","org.example.datatest.tests.registerTest","register"
"Test to verify if the login button works correctly","11792","Click on login Button","SpreecommerceAutomationTest","Tue Aug 12 10:42:11 EEST 2025","passed","Tue Aug 12 10:42:23 EEST 2025","org.example.datatest.tests.logintest","Chrome Test","org.example.datatest.tests.logintest","login"
